,neg_words,count,documents
22,분노,169,"['n 마이 아프신가?n좀 쉬세요.n분노로 꽉 찼네?n그런 분노로는 세상 좋게 못 바꿉니다.n본인 아니라도 세상 잘 돌아가니 머리 식히세요.', 'n 피해 머시깽이 진짜 성폭행한 놈은 구치소에서 잘먹고 잘산다는 데 갸는 그놈한테는 분노 1도 없는 모냥임. 만만한 사람한테만 분노옷', 'n 설날 아침부터 전국민을 분노케 만든 이낙연.n영남에서 지지를 받아보고 싶어 내 뱉은 이명박근혜 사면바리.n얍쌉한 야바위꾼짓거리 지.n그래서 낙연이를 보고 모두 x신이라 일컫는다']"
23,거짓말,166,"['n 입 뻥끗하면 대 부분 거짓말로 그때 그때 돌파하는 스타일 같습니다.n아버지가 서울대출신이든 초졸이든 거짓말을 왜 해야 했을 까.n목적을 위해서는 수단방법가리지 않는 나쁜 사람', 'n 전과4범 이재명 닮아서 거짓말을 밥 먹듯이 참 잘해요n거짓말이 아니면 병원가서 치매 검사해보세요', 'n 나문지 시즌2냐?n금방 들통날 거짓말을 왜 하냐?n너 자꾸 거짓말하면 이재명처럼 된다?n']"
24,무섭다,159,"['n 무서워 하긴 n무시하는 거지 포장만 예쁘장하고 내용물은 본적이 없다 이게 무서워 하는 거냐?n무서워 했으면 좋겠지 ?n그래야 똥파리짓이 통하는 느낌이 들테니', 'n 무섭지 이재명이 그럴 일 없고 그렇개 되어서도 안되지만 대권 잡응 경우 대한민국에 끼칠 억영향을 생각하면 진짜 소름 끼치게 무섭다.', 'n 볼수록 스트레스 쌓이니까 기분 나쁘니까 짜증나니까 역겨우니까. 무섭긴 뭐가 무서워? 저 넘만 안보이면 두발 뻗고 자겠다.']"
25,승리,149,"['n 맞습니다 진작에 시작됐습니다nn이재명윤석열승리국짐당승리nn당원게시판에선 국짐당프락치 오렌지일베충들n기레기와 언론이 계속 해서 작업중인듯 합니다', 'n 이낙연 당대표 시절n너무 답답했다n이낙연 대표는 중요한 순간에는 자가격리??n문재인 대표 시절 이후 항상 승리하던n선거를 말아먹은 유일한 당대표n180석 가지고 답답한 당운영', 'n 넵 첫날에완료n투표안된다 고 징징대는분들은n대부분 자격요건이 안 되는 사람들.n그런 규칙도 모르는 분들은 민주당에 애정도 없는 걸루보임 n오늘 114 로 우리 승리해요 n']"
26,무시,146,"['n 이렇게 작정하고 잠입해서xa0대놓고xa0의도를 드러내며xa0n패악질xa0부리는 것들은xa0무시가 답이죠 n감정적으로 대응하면 손해에요n그러려고xa0잠입한 거라', 'n 무서워 하긴 n무시하는 거지 포장만 예쁘장하고 내용물은 본적이 없다 이게 무서워 하는 거냐?n무서워 했으면 좋겠지 ?n그래야 똥파리짓이 통하는 느낌이 들테니', 'n 지들이 속한 당원들 의견도 무시하는데 국민이 보일리 없고 일단 지들 잘나서 금뱃지 달았다고 믿으니 무서운게 없게죠.당게 게시글 제한도 보기싫어서 해놨을듯.']"
27,죽이다,138,"['n 그러게요.n완전 제 정신이 나갔것 같아요.n민주당 자산을 다 죽이려고 작정한 것 같아요.n불씨가 꺼지지 않게 살려야 합니다.n내각제 할려고 다죽이려 하는 것 같습니다', 'n 이낙연 부추겨서 내부 분쟁으로 둘중 하나 죽이려는거.n그 중 하나 살아남으니카n이제 남은 놈 죽이려고 달려든다.n이 일베 개 벌레놈들', 'n 죽이긴 뭘 죽여요 민주당에서 나가라는 건데 니같은 사람이 전과4범 불륜남 옹호해주니까 문제 라고요']"
28,의심,132,"['n 김영환의 어이없어하는 표정을 잊을 수가 없어요. 생방으로 토론 보는데 내귀를 의심했죠. 민주화운동하다 감옥간건 전과아니냐 며 자기전과 합리화하려는 행동에 저도 놀랄 정도였어요.', 'n 이런 좋은 게시글에 싫어요를 누르는 사람들은 뭐지? 국민의 짓인가? 의심스럽네.n부동산 언론 검찰 개혁하라.송영길 완전 대실망.n하긴 원래 민주당에 이런 자들 밖에 없었지요.', 'n 이것들 이러면 의심이 되는 거야 n지난번 이지모 사태도 똑같았어 n이재명 지지모임에서 물타기로 이낙연지지모임도 만들었지 n자꾸 이러면 의심이 되는 거야 n뒤에 이재명이 있나?']"
29,분탕질,131,"['n 스스로 일베 본인 인증하면서n민주당에서 왜 분탕질 하면서 있는 거에요?n아 분탕질이 목적이였지', 'n 아. 일베같은 아레이미지의 이런 애들은 가만둬도 되고nn이재명 풍자는 안되고? nn당내 분탕질 갈라치기 제명 좀 제대로 해라nn그리고 왕내부총질러 이재명을 제명하라n', 'n 어디서 일베짓이야. 도대체 당원게시판에 일베 알바 푸는 자들이 누구야? 민주당 내에서 분탕질 하려는 내외부 세력n이 서글것들. 나가라. 여기다 쓰레기 투척말고']"
30,사라지다,129,"['n 님 혹시 디어문씨 소식 들었어요? 왜 해명도 안하고 야밤도주하듯 글 다 삭제하고 사라지셨는지 혹시 뭐 들은 거 있어요? 나는 절대 이재명이 아니다 라고 왜 말을 못 했을까요?', 'n 입만 열면 거짓말만 하는 사기 선동꾼.n너무 찌질하고 무능해서 우리나라 국격에 안 맞음. 그냥 십만원 노래부르다가 사라지길 바랄 뿐.nn민주당 내 기생충 이재명은 탈당하라.', 'n 미래에서 왔습니다.n간철수보다 못함요n간철수는 쓰레기 수거라도 하고n지금까지 간간히 코메디를 보여주는데요.n이 인간은 사라지던가 검찰 조사로 바쁜 나날을 보내던가n그럴듯요.']"
31,장애,120,"['n 불륜 패륜 욕설 사칭 혜경궁 분노조절장애 전과4범잡범.등등n더러운걸 더럽다 고 말도 못하면서 김어준을 지켜야 한다 고 요???n당원 게시판에 이런 글을 올려요??n의도가 참.', 'n 첫째부터 틀리셨네요nn3.당원은 여성.노인. 장애인 등 사회적 약자를 비하하거나 지역.세대 등 국민통합을 저해하는 언행을 하여서는 아니 된다.nn해당행위도 하셨구요n', 'n 불륜 패륜 욕설 사칭 혜경궁 분노조절장애 전과4범잡범.등등n 더러운걸 더럽다 고 말도 못하면서 김어준을 지켜야 한다 고 요???n당원 게시판에 이런 글을 올려요???']"
