,pos_words,count,documents
20,기대,78,"['n 엄중 이낙연선생님 금일도 선거개혁문제로 사고 치셨던데요. 기대도 하지 않지만 요. 근데 보궐선거 참패는 책임안지세요. 궁금해서요. 분명히 말하지만 그냥 넘어갈 문제 아닙니다.', 'n 실망 이라뇨 ? 송대표가 걸어온길 모르십니까 ?n전 기대도 안했는대요 n무늬만 문대통령지킨다 현실은 고노무현 전 대통령 때처럼n재현 되고 있잔아요 이게 민주당에 현실 임니다', 'n 그래 떵파리 니들이 글케 좋아 하는 중앙에서 홍보해 주니 좋겟다 떵파리가 떵파리 다워야 떵파리지 암 좀더 자극적으로 욕설 도배 막말 도배 기대 할꼐 수고 햐']"
21,성공,77,"['n 세치글과 세치혀는 세계 선도국가 일류국가의 국민에게는 더 이상 통하지 않는 것이 . 안타깝고 슬픔이오. n문정부의 성공적 마무리와 더민주당의 정권 재창출을.', 'n 성공적인 외교에 발맞춰n귀국 선물로 대통령님이 그리 원하셨던n판문점 선언 비준을 통과시킨다면 n송대표 님은 미미하나마 한 번의 정치적 치적을 쌓는 겁니다', 'n 성공포럼 대표 의원이 오늘부터 전문가와 연구한다네 국민을 바보로 아는 지?n이낙연의원은 작년부터 전문가와 분과위중심으로 결론을 포럼에n서 발표해야 하지?']"
22,대상,74,"['n 경기도민 입니다. 이지사가 그깟 십만원을 미래의 저에게서 강탈해서 준 도민이죠. 저희에게 남은건 빚 뿐입니다. 전국민 대상으로 이딴짓 못하게 하려고 이지사를 반대합니다.', 'n 서울시민으로 한마디 하면 누구나에게 돈뿌리는 정책 단1도 지지하지 않습니다. 집중이 필요한 대상에 보다 많이 빨리 지원하는 게 회복에 더 큰 도움이 된다고 봅니다.', 'n 지지율 조사 대상은 광주 전남지역 시기는 2월. n간단하게 쓰는건 좋은데 자료를 제대로 확인도 안하고 올리진 말자.nn대통령 선거는 광주전남사람만 투표하냐??']"
23,가치,72,"['n 듣보잡이란다 같은 소리하네n풉n난 김어준의 가치도 알고n황희두는 미래 민주당을 이끌 20대n청년의 훌륭한 정치감각도 안다n듣보잡은 아녜스이모 같은 사람을 두고 하는 소리여', 'n 솔직히 말해요. 문재인 이낙연 싫으니까 송영길 이재명 붙들고 있다 라고 말이죠n정체성과 가치랑 배치되는 사람 인지도 있다 고 안고 가면 그게 정당이에요? 친목모임이지', 'n 정말 화나요. 가치도 없고 의리도 없고.표만 얻으면 이랬따 저랬다 해야 하는 건가요? 아.한심하기 짝이 없다. 초선들 전략도 통찰력도 없는 파렴치']"
24,괜찮다,68,"['n 내 글에 이런 식으로 댓글 달면 당신이 괜찮을거라 생각하나봐요? 모욕죄로 고소하기 전에 욕 지우세요 천박하군요 이재명 지지자글은 다 이런 식이죠 일베들과 별반 차이도 없구요n', 'n 여기 다모였네 민주당 왠수들 혹시 티비나 유튜브만보시고 이재명 괜찮다는 어른들 계시면 그놈 정동영 똘많이였다고 한마디씩만 해주세요. 백이면 백 칭찬이 욕으로 돌아섭니다.', 'n 남이사 이낙연 화이팅을 외치던 말던nn과거글 보니n너도 이해찬 화이팅을 외치던가요? n니가 이해찬 응원하는 건 괜찮고?n이번 선거에 해악만 끼친 이해찬n탈당해라']"
25,고맙다,66,"['n 당원들이 투표해서 최고위원 만들었는데 김어준때문에 최고위원되었다 고 고맙다 고 하는 작자도 있던데요 당원들을 개무시하는 짓이죠 정말 초선 의원들 진절머리 나네요', 'n 역시 다음 대통령은 이낙연의원님입니다. 고맙습니다. 저희가 또 지켜드릴게요. 한줌의 문파지만 일당 100명 노릇하는 문파라구요. 그래서 모든 사람들이 경외하죠', 'n 장대발 볍신 새 nnn완전 n동네북이네 nn게거품 물고 피토하는 꼬라지 보소 nn너같은놈때문에 이재명이 알아서 쳐망하는 거야 고맙게 nn이 새 ㅑnn n']"
26,빠르다,66,"['n 문자나 카톡 오던데 받았나요?n아님 당비6개월 이상납부 됐는지?n계신지역 당사에 전화하면 빠릅니다n알아보시고 여기 남기셔요.nn귀한 표 귀한사람 뽑읍시다.nn114ㅡ.n', 'n 주어가 틀렸어ndear moon 그양반이잖아n글삭하고 냅다 토낀.sns중독 그양반n물론 캡쳐가 더 빨라서 웃음거리 하나 더 늘어났지만n글삭만 안했어도ㅠ 아 가벼워', 'n 그렇죠. 시대착오적 사고방식이 부끄러운 줄 알아야 하는데 자기가 옳다는 독선으로 끝까지 언론탓 남탓하는 멍청이들이 비추 박는 속도 하나는 눈부시게 빠르네요.']"
27,찬양,63,"['n 낙연이는 살인마 전두환이 찬양하고 똥파리는 그 낙연이를 찬양하고 오.울교주 이낙연님 세에키들.', 'n 앞 부분 살짝 보니 이건 완전히 김일성 찬양이네. 더 보다간 뭔가 이적을 행했다는 소리가 나올까봐 유치해서 시청 포기. 이런 내용들로 분량을 만드는 사람들 참 고생이 많다.', 'n 뭔 잦 까는 소리를 하냐 쟞가튼시키야 당원들 일베 만드는 보소 n일베는 전두환 박정희 찬양하지 이재명 욕 안해 신아. 어찌아냐고ㅓ??n친구가 일베여서 의절했거든.']"
28,이루다,63,"['n 저는 민주당계입니다. 왜 자꾸 분열을 일으키려합니까? 어떻게 이룬 민주주의고 어떻게 이룬 180석입니까?nxx계 무슨무슨파 나누지마십시오. 분열을 얘기하는 자가 반역자입니다.', 'n 열심히 일하는 젊은 아들은 집없어도 되나?n비트 파는 애들이 몇이나 될까n성실하게 꿈을 이뤄가는 청년들에게 포커스를 맞춰도 부족한데.n저런 사람이 당대표라니. 너무한다 종말', 'n 진짜 어이없죠n때만 되면 봉하는 왜 감?n거기가 어디라고?n사위란놈이 거길 또 이용이나 당하고n여하튼 탈당해서 대통령 꿈 꼭 이루세요nn정의를 위하며는 누구?n']"
29,귀하다,62,"['n 문자나 카톡 오던데 받았나요?n아님 당비6개월 이상납부 됐는지?n계신지역 당사에 전화하면 빠릅니다n알아보시고 여기 남기셔요.nn귀한 표 귀한사람 뽑읍시다.nn114ㅡ.n', 'n 당신 같은 사람이 입에 올릴 이름이 아닌데 조국 장관님과 이낙연 의원님 귀하디 귀한 분들입니다.아시기 바랍니다.', 'n 난 여론조사 지지율 따위 보다 내 양심을 믿기에 이재명을 귀하게 여겨야 할 이유를 전혀 모르겠는데요?n이재명 지지율이 100 가 나와도 나는 이재명 안살 거니까 꺼지세요. d']"
