from,to,depth,documents
대통령,노무현,2,"['n 한 전총리 실망입니다. 노무현 대통령 얼굴 어찌 보려고 그러십니까? 노 대통령 배신한 정통 회장 출신에 노무현 시체팔이 운운한 자를 지지한다고 요? 그냥 집에 가만히 계세요.', 'n 노무현 대통령에게 반기를 들고 사사건건 트집을 잡던 통파라교주 이교주.nn용서벋지 못할 통파리 이교주.n노무현 대통령 묘 앞에 무릎굻고 석고대죄 하라.n', 'n 백만번 공감합니다. nn김대중 노무현 문재인 대통령이 바로n민주당의 정체성이죠.nn김대중 노무현 문재인 대통령을n가장 닮은 분을 지지하면 됩니다.n']"
대통령,지키다,2,"['n 실망 이라뇨 ? 송대표가 걸어온길 모르십니까 ?n전 기대도 안했는대요 n무늬만 문대통령지킨다 현실은 고노무현 전 대통령 때처럼n재현 되고 있잔아요 이게 민주당에 현실 임니다', 'n 정신차리세요 이낙연은 절대 문재인 대통령을 지킬 사람이 아닙니다. 이낙연의 말을 보세요 자신의 이익을 위해 문대통령을 입에 올릴 뿐.n이낙연은 절대 믿을 수 없는 사람입니다', 'n 다른 후보님들이 당선되시면n문재인 대통령 못지킨다는 얘긴 거 같아서n그닥 공감은 안되네요nn문재인 대통령도 이런 식의 선긋기는n좋아하지 않으실 거 같애요']"
대통령,문재,2,"['n 민주당 다음 행보 예상nn 민주당 지지율 이반은 문재인 대통령 탓n 문재인 대통령은 민주당에서 탈당하라n 문재인 대통령의 실정을 바로 잡을자 ooo을 믿어주시기 바랍니다', 'n 다른 후보님들이 당선되시면n문재인 대통령 못지킨다는 얘긴 거 같아서n그닥 공감은 안되네요nn문재인 대통령도 이런 식의 선긋기는n좋아하지 않으실 거 같애요', 'n 대통령님 생각하면 더더욱 이러면 안 되죠n대놓고 보궐 져놓고는 마지막까지 문재인 대통령님 팔아서n한자리 해보겠다 고 장난 치세요?n물러날 때를 알아야 선거도 이기지 양심도 없어']"
당원,권리,2,"['n 당신이 더 극렬하네요.n다른 당원들은 정치인을 비판하는 데n당신은 같은 당원을 공격하네요.n정치인을 비판하는 건 당원의 권리자 의무입니다.n같은 당원 공갹하지 마세요.', 'n 전국 대의원 15905명 권리당원 694559명n대의원 1표 비중이 권리당원 60표nn대의원 954300 권리당원 694559', 'n 이런 세작과도 같은 어이 상실한 인간들이 권리당원 중에 많다는 게 문제.n돈 천 원에 권리당원 양산하지 말고 정신 감정부터 하든 검증 절차를 만들어야 합니다.n']"
당원,게시판,2,"['n 열받아 당원게시판 가입했다n민주dem12 n이낙연 팬카페가서 선비질이나 하시고n조국 때문에 가입한 민주당 원도 아니고n노사모 때부터 민주당 진성 당원이다.n말 함부러 하지 마라', 'n 와 파도파도 괴담만 나오네요?n이지사님은 도대체 정체가 뭘까요.n박근혜 촛불집회때 이지사님 보고 멋진분 이라고 n생각했는데 당원이 되고 당원 게시판 보니 제가n어리석었네요.', 'n 게시판에 글을 처음 남깁니다. n오래된 당원입니다. n요즘 당의 모습은 실망스럽습니다. n저도 님과 같은 심정입니다.n그런데 게시판에 이상한 글들이 많네요 ㅜㅜn걱정입니다.']"
당원,국민,2,"['n 국민의짐당 세작들이 월1천원 내고 민주당 권리당원 가입해서 똥물n뿌린다는 정보가 사실인 것 같네 캔두야 옹돌아 국민의 암당 니네n집으로 꺼져라 국민의 암들아', 'n 누가 봐도 lh가 원인인데 뜬금없이 대통령님과 지지자 탓 n당원보다 국민이 소중하다는 의원님. 당원도 국민입니다.', 'n 전당원 투표일때는 대의원도 1명의 권리당 원으로 취급해야 맞다고 봅니다.n전국민 투표 때 국회의원 1표를 국민 10만명분으로 취급하지 않잖아요.']"
대표,홍영표,2,"['n nn홍영표 후보에게 후원하실 분들은 꼭 당대표후보 후원계좌로 보내주세요n홍영표 국회의원 계좌로 보내시면 당대표 선거에 사용 못한다고 하네요n', 'n 홍영표 후보에게 후원하실 분들은 꼭 당대표후보 후원계좌로 보내주세요n홍영표 국회의원 계좌로 보내시면 당대표 선거에 사용 못한다고 하네요n', 'n 똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 이건 과학이죠 n홍영표 당대표 낙선 이낙연 민주당 후보 안됭']"
대표,송영길,2,"['n 송영길대표 하는 거 마음에 안들고 끌어내리고 싶다만n거기다 은근슬쩍 이낙연전대표 끼워넣는건 뭐냐n역시 박스떼기 지지자들은 하는짓도 똑 같구나 n박스떼기 이재명 out', 'n 조만간 송영길 국짐당 간다.n이런 기사 나오는 거 아냐? 턱걸이보다n못한 당대표 되자마자 하는짓이 국짐클라스냐?n그냥 국짐당 가라 송영길n민주당 정신하곤 안맞는다', 'n 이해찬이 싫어 탈퇴하고 이낙연 대표때 트루애당러로 복귀했습니디만. 송영길이 대표되고 빡친 사람 중에 하나요. 이재명을 증오하는 건 기본 옵션이오']"
대표,패배,2,"['n 똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 이건 과학이죠 n홍영표 당대표 낙선 이낙연 민주당 후보 안됭', 'n 똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 이건 과학이죠 n다음 당대표 리트머스지 홍영표 탈락', 'n 분열의 아이콘 똥파리nn똥밀필패 똥파리가 밀면 반드시 패한다 nn전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 nn이건 과학입니다nn이재명지사 귀한 줄 알아야 합니다']"
의원,모르다,2,"['n 당선되고 주위에서 의원님 의원님 해주니 모가지에 힘이 잔뜩 들었구요. 비정규직 인줄도 모르는 것들이죠. 다행입니다. 자진해서 속을 보여주셔서 내 소중한 한표 살렸어요.', 'n 뭔소린지? 이여자는 이낙연의원님 이제평의원 인것도 모르나? 이낙연의원님 대표로 있을 때 개혁입법을420개 넘게 했어좀 알고나 떠들어라', 'n 오영환의원님의 멘토가 이낙연의원님이라서요 그걸 모르시나요 ???? 안따라 오는데 어떻게 델꼬 나가요? 나갈이유도 없고']"
의원,언론,2,"['n 이낙연대표님 정말 수고 많으셨어요n언론홍보비 지출해서 도정에도 결석하고 혼자 대선놀음하는 누구와 달리 n언론친구비는 못썼지만n국민들과 당원들은 알아갑니다 n이낙연의원님의 노고를', 'n 도대체 언론홍보비로 세금을 얼마나 쓴건지.n자료 요청하는 도의원 언론이 협박질이나 하고.n돈을 얼마나 받아 먹었길래 저렇게 한 몸이 되어 있는 걸까요.', 'n 갈라치기 말고 제발 정신차리시고 나가세요 민주당 영원하고 사랑해요.검찰개혁 언론개혁 꼭 우리 의원들이 하실 거라 믿습니다. 우리 민주당 의원들 사랑해요']"
의원,정신,2,"['n 문프에 정신적 지주인 n송기인 신부님이 n이낙연의원님 부산 신복지 포럼에 특별고문으로 위촉된 건 아시나요?nn아무리 이낙연의원 폄하 하려 해도 게임 끝 작성자 monciel', 'n 여성의원할당 발의한 의원들에게 항의하고 폐기시켜야 합니다. 몇번을 더 패해야 정신차릴까요. 깨어 있는 당원들이 용기내어 바꿔야 합니다. 당원은 바보가 아닙니다.', 'n 초선들의 의견을 5적으로 단죄하는 당원이나 의원들 한심하고 개탄스럽다 이준석이 주목받는 이유를 모르는 가?n정신차려라 정신 떼거리 패거리 때문에 망하고 말거다']"
지지,인간,2,"['n 당신이 말한 딱 맞는 적임자 차기 대통령은 이낙연이네요 이재명 처럼 약아빠진 인간 지지 하지 마시고 하루빨리 찢빠에서 탈출 하시길 바랍니다 당대표는 홍영표 114꾹 눌러주세요', 'n 당린만 나가면 되겠네. 도대체 민주당 지지자들이 가장 지지하는 후보더러 나가래. 아님 니가 대권 한 40 앋어보든가. 정시니간 인간. 게시판에서 먼자 나가는 거 잊지 말고', 'n 인간들아n느그낙지나 우리 여니님이나n열심히 응원하고 지지하다 보면n각자에 맞는 해피엔딩을 맞이할꺼여n나대지말고 느그꺼나 잘지켜 쫑나지말고n수준에 맞는 지지만 하면 되는겨n']"
지지,대선,2,"['n 절대 이재명지지할 일 없어요n정동영보다 낮은 표받을걸 각오하지 않고는 이재명 대선후보 만들일 없죠 즉 차기는 국짐당에 넘기려고 이재명 지지하는 거죠', 'n 지금자라나는 대한민국 아이들에게n전과4범이어도 패륜을 저질러도n도지사할 수 있고 대선후보될수 있다 고n가르치셔야죠n이재명 지지하면서 이런글 올리시다니n앞뒤가 안맞는듯.', 'n 이재명은 지지n탈당해서 대선에 출마해도n민주당 경선에 출마해도n이재명은 이길 수 없지n이재명은 지지']"
지지,죄명,2,"['n 깔게 그렇게도 없냐nn이죄명은 사과로도 안 되는 인생 살아왔는데n어찌 지지 할 수 있냔 말이다n이낙연 사면발언이 이해가 전혀 안되는n니 성향으로 어찌 이죄명을 지지하냐고', 'n 지 랄 하는 찢 놈 n들어 왔네.n작작해라n보기 넘사스럽다.n보확찢 이죄명이나 열심히 지지해.n그 지지자도 안봐도 보확찢이지n그러니께n그런 물건 지지하지', 'n 쓰레기 찢 유튜버들n들을 필요 1도 없어요.n시간만 낭비n이죄명지지자들은 민주당 지지자들이 아닙니다.n이죄명만 지지하는 오렌지군단 손가혁n']"
똥파리,필패,2,"['n 분열의 아이콘 똥파리nn똥밀필패 똥파리가 밀면 반드시 패한다 nn전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 nn이건 과학입니다nn이재명지사 귀한 줄 알아야 합니다', 'n 이재명계가 어딨다고 들이냐 이 똥파리들아 똥밀필패 찢찢거리지 말고 발닦고 잠이나 자라 이 한심한 똥파리들아 똥밀필패', 'n 똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 이건 과학이죠 똥밀필패 n홍영표 탈락 이낙연 대선후보 실패']"
똥파리,전해철,2,"['n 답없어요 똥파리들nn제일문제 전해철 다 필요없음 제일문제nn똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락', 'n 분열의 아이콘 똥파리nn똥밀필패 똥파리가 밀면 반드시 패한다 nn전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 nn이건 과학입니다nn이재명지사 귀한 줄 알아야 합니다', 'n 똥파리 똥밀필패 똥파리가 밀면 반드시 패한다 n이재명지사 화이팅 n시원한 선명성 개혁성 정답이다n전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락']"
똥파리,패하다,2,"['n 똥 낙 필 패nn이천파 똥파리들이 낙연을 선택했다nn똥파리가 누굴 밀든 반드시 패한다 nn똥파리 이천파들이 점찍은 낙연 nn낙연아 똥파리를 원망해라', 'n 똥 밀 필 패 nn똥파리가 홍낙을 밀면 반드시 패한다nn이천파 똥파리가 홍과 낙연을 선택했다nn안타깝다 홍 낙 안녕히 잘가세요 nn이천파 똥파리 없는 좋은 세상에서 다시 만나요', 'n 똥 밀 필 패nn똥파리가 114 밀면 반드시 패한다nn이천파 똥파리가 너무너무 싫어요 매우 극혐nn똥파리들의 선택을 받은 지지율 5이낙연 전당대표님 안녕히 잘가세요']"
똥파리,수박,2,"['n 수박똥파리은 언제 수박똥파리들끼리 모이나 요?n수박 똥파리 모임 사진 좀 보여주세요.', 'n 민주당 내에 수박들과 똥파리들이 문제다 검찰언론개혁을 이따위로 방관하다가는 180여석을 만들어준 국민들이 좌시하지 않을 것이다 수박들을 출당시키라', 'n 그러게요. 지들이 나가서 지들끼리 원팀하던 지.어휘력도 부족해서 똥파리 수박 돌려쓰는 주제에.그나저나 똥파리는 이똥형에게 뇌 조종당하나요?']"
