,neg_words,count,documents
20,거짓,60,"['n기본은?모든건?백성으로 부떠?나온다 는?기본생각을?가지고.잇는것들?거짓?거짓거짓', '거짓자체인범죄집단은구분.수천수백수십억해먹는투기꾼적폐거대범죄에xa0xa04천만원연립주택거짓조작', '거짓자체인범죄집단은구분.수천수백수십억해먹는적폐투기꾼거대범죄에xa0xa04천만원연립주택거짓조작']"
21,어렵다,59,"['홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ', '이재명지사님이대통령이 되어야 하는 이유nㅣ.가정환경이n어려운 가운데n인간승리를 한분입니다n공약은실천한다.n어려운 사람들의n심정을 잘 안다.n국가운영전반적인n것을오래준비해왔다.', '최재형등현정권인사뿌락치인간들 이난리법석떨어도홍남기도아마짤리면저편대권인사로 등장치않는다고 보장못함n차기민주진보정권창출어렵습니다nn정신차립시다nn진보유튜브여러분n윤석렬']"
22,짜증,57,"['주제는hot한데n직접 유튜브접속하면n짜증나요진행패널분들n서술적인 진행넘n짜증나서전나갑니다', '쥐뿔난예술가아닌뒈예민하다.여행으로 비우지 않으면영감이안떠올라?.웃기네.지능력 없는 걸예민으로 포장하지 마시라.남편분축이혼임돠pd님말씀완전동의꼴같지 않게예술인입네하는 것들짜증', '추미애씨는윤석렬씨험담을 할 수록국민들이 싫어하는 걸본인만모르는 것 같습니다.자기를 이기지도 못해서법무장관으로서 국민들에게짜증만주었던 일을 우리는 기억하고 있습니다.']"
23,싸우다,56,"['일본군을 상대로 총이없던동학농민군이대나무로 만든죽창으로 총든일본군을 상대로맨몸으로 나라를 지키기 위해 싸워야했던 우리조상들의그아픔을그비극을무식한9수도리도리윤석열은절대모른다', '구구절절옳은말씀만하시네요n추다르크님n응원합니다n오랜만에속이시원하고 힘이나네요n우리는 지치지 않습니다n우리는 여전히개혁 과정의를 위해서싸울준비가 되어 있습니다', '윤가놈에게 자기들도당할카봐무서워모르는체외면했었죠.민주당이 대통령을 만든후에급격히보수화되고귀족화되어악의무리와피터지게 싸우고저항하던파이팅 을잊어버리고']"
24,의심,56,"['그래도 지지율30대오세훈이뻔한사실도뭉개버리고 당선되는 거보면웃을일이 아니예요.또재난지원금선별식기득권위한캐시백얘기하는 거보면 기재부의생각이 대통령생각인듯대통령이 수박인듯의심됩니다', '추장관님은아까그분의 전생의애인이 아니라n나그때댓글놓쳤는데n내피가섞인우리언니였다 한치의 오차도없이n정치권력아니고한치의의심도 없이 진심나라위하는 우리언니n내언니다ㅠ슬프고미얀해요', '광재씨사람은 무엇이 되는 것보다 어덯게사는야가중요하다고 봅니다 고향망신시키지 말고 정치그만두시고반성하고 사세요민주당 대통령 후보는 이재명지사여야승리한다고 믿어의심치 않읍니다']"
25,감옥,55,"['이거그냥넘어가면 대한민국과 국민을개돼지취급을용인하는 결과를 가져온다스스로폐간절차를 하지 않으면 시민들이 나서야 한다 저런쓰레기언론과한통속이던검찰전윤짜장과그추종자들을감옥보내야 한다', '윤짜장감옥으로즉각보내거라이번 대통령은추미애다음은조국전장관님을추미애 대통령후계자로했으면함꼭그렇게됄것임추미애조국화이팅이재명씨는 검찰개혁물건너감깨시민냉정히생각잘하시길부탁합니다.', 'x파일을말하면감옥간다?n바로 그거네.n아무도말하지 못하게 만든거네n장성철.이인간이윤석열길닦아준거네.n그렇다면.n이여러 종류의파일들이 국힘에서 만들어졌다 면.n국힘']"
26,버리다,55,"['낙엽이진짜 사면얘기꺼낼때부터x맨이냐?n대통령님눈귀막고계속잘되고 있다 라고 만말하는 건지진짜제발정신차리고폐미좀버려라아직도 아무리개판쳐도국짐은안찍을거라고 생각하고 있는 거 아니지?', 'n호남민심을 이용할려는세력들끝내발목 잡을려할 것이다n미리깨시민방송들이 이낙연을버리고 민주당 국회의원들이 이재멍쪽으로 단일대오에빨리합류토록해아한다.n원팀은안될꺼고이낙연세력들분연', '이제민주당이 2030남성들의 표는없이 대선준비를 해야 할거같네요 2030세대에 가장민감한게부정입학부정이슈인데거기에 불을질러버리네 2030감수성이랑더멀어지는 느낌']"
27,바보,53,"['민주당에는왜바보노무현이없나?작은이익에민감하고 유리하고 불리하고를따지고큰정치를 하겠다는 사람들이 그릇이 그렇게작아서야지도자가 되겠는가노무현의 역사에서 좀배우시라바보노무현을.', '줄리와 장모윤석열가족의 비리부터 말하고 정부를탓해야지어마어마한 자기가족의 비리는덮어질 것 같은가자기양심을속이고 어떻게 대통령희보로 나오는 건 아주생각이 없는바보같은짓이다', '지금분위기보면 국민들이 민주당에실망한거같으니국짐당대표만되면 대통령논스톱이라고 생각하는 가보다.국민들이 바보인가?촛불로세상을 바꾼국민이결코어리석지않다는 거']"
28,욕하다,53,"['생각해보니 자꾸민주당을욕하게 되네.n진보유튜버들도 그렇고나도 그렇고n수박들이 원하는 게 그거같은데.지지자들이 민주당욕하고떨어져 나가는 거n일점사합시다.점사.콕찝어서죽입시다.', '어떻게 저런친일발언을윤봉길의사기념관에서 할 수 있죠?n진짜저곳은친일파들도일본욕하는 곳아닌가요?n국민들은 무역전쟁에서 이겨볼라고노제팬운동인데.n아주대통령되면독도라도줄기세네요.', '박성민을욕하는 거는나이때문이 아니라 그사람이 가진가치관때문이라 생각됨특히너무페미적인 이런 사람을택햇다는 걸아니까진보진영보수진영에서도욕먹는거겟죠n한심스런이철희란자의 선택']"
29,분노,53,"['조선일보와이승규니네는뭔소리를 해도 금융치료가자.기사내기전에 이모든 과정을걷혔어야.한가족을짓밟고도살려고발버둥치는 그것에더아침부터 분노한다.이쓰레기들아 n오늘도늦어버려나머지공부하는중', '저 사람들에게 분노하는 가장 큰 이유는 하나님이름을제멋대로망령되이이용하는 것이다.저들은 하나님을 모르며하나님을경외하지도 않는다.진정하나님을 두려워한다면저런행동과말못한다.', '국가 지도자가 되고 싶은놈이분노에가득 찬회견이었다분노조절장애를 가지고 있다 저런놈이검찰총장이었다니아찔하다 국가를감정적으로 다스리겠다는윤짜장한심스럽다']"
