,pos_words,count,documents
28,흥행,36,"['언론이석열이보다재형이를 더밀어준다고 보기 전에 두 사람을경쟁 구도로 만들어흥행몰이를 하는 게 아닐까 싶다 n경제1도모르는석열과자기이익에만충실한재형그런두대갈에게 나라를?', '흥행? 정치가장난이냐?그러니쑈라는 말이 나온거야장난지금 국민들하구하냐?걍대세를밀어주고정권쟂창출에 신경들써라썩을것들아니들맘대로 하지 알고촟불국민들마음에 들게해라콱마', '국힘당이 아무리흥행몰이를그럴싸하게 해도 이재명은독자적으로뚫고나가대통령이라는산봉우리에깃대를꽂을것이다 그래야우리나라가 계속뻗어나갈 수 있기 때문이다.']"
29,이익,36,"['민주당에는왜바보노무현이없나?작은이익에민감하고 유리하고 불리하고를따지고큰정치를 하겠다는 사람들이 그릇이 그렇게작아서야지도자가 되겠는가노무현의 역사에서 좀배우시라바보노무현을.', '언론이석열이보다재형이를 더밀어준다고 보기 전에 두 사람을경쟁 구도로 만들어흥행몰이를 하는 게 아닐까 싶다 n경제1도모르는석열과자기이익에만충실한재형그런두대갈에게 나라를?', '다음 대통령은 다른 개혁 과함께관료조직특히 기재부를 확갈아엎어야 한다.이것들은 국민의이익에는 관심이일도 없고지들부처이익과본인의 입신양명에만매몰되어 있다.']"
30,도움,36,"['정 교수님과따님과아드님사랑합니다.힘내시고홧팅하세요 조장관님은혼자가 아닙니다.우리깨시민들이 도움을 드리고 함께 할 수 있도록 기회를 주신다면감사하겠습니다 우리가 조국이고 내가조국이다', '날도덥고습하고눅눅한데왜 이리불사르겠다는 인간들이 많아요?n항상하나도 도움될것없는 인사들같으니 라고n황희두님n힘내세요.n더위에건강조심하시고요.n사랑합니다', '지원금주면부동산으로 또서민들에게 충격으로 다가온다 먼저집값내리는 대책을 세워라언발에오줌누기다집값오른다면 지원금이 아무도움이 안 된다']"
31,강하다,36,"['십대후반친구들을 알바로쓰고 있는 자영업자입니다.요즘18세 이상이십대중반친구들은 무조건강한 사람을 좋아합니다.조금법을어기더라도 강하고 돈많으면 그사람에게머리를숙이고좀없다 특히돈', '북한은 전통적으로 군사력이 강한 나라 전통입니다.n북한의 무기 제조기술력은대단해요.탱크도신형으로뚝딱만들어교체하자나요.n과거 미국 동북아차관보하던사람이말햇어요', '조국장관님힘내세요강하게 하세요n용서하지 마십시요힘냅시다.n성매매일러스트는 조선tv에서 100일을사과해도머리속에박혀있는 건안잊혀진다.n책임은져야지?조선일보?']"
32,명예,35,"['현 정권서누릴권력다누리고 또 무슨권력을쥐어보겠다 고끝없는욕심에명예고뭐고욕심들이똥창까지 가득 차서국민들을힘들게 하는 수구꼴통편그놈들지들욕심때문에 배신때리는놈들부끄러운줄알아야지', '이낙연n민주당에 공헌한분임은틀림없다n최성애따위의말을 믿고김용민씨그렇게막말해도 되는 겁니까?n이낙연은대통령깜은아닌 것 같습니다n이낙연을명예롭게퇴진시킵시다', '전번공개는 표현의 자유가 아닙니다n개인정보 유출명예훼손으로 전부손배소해야 합니다.파산시켜버려야 합니다.삼성이뒤에있다 면돈걱정 없겠지만 말이죠.']"
33,괜찮다,35,"['개떼들몰고다니느라그런재롱부릴기회가 있었것나.nn사람들도 많이구다보것다바로 이때다하고 재롱조까n부렸것지.그냥봐주삼.nn근데하도흔들어대서그렇지 않아도멍청한대가리n괜찮을까몰라.', '배울만큼배운사랑중종교타령할때 가장하등해보인다ㅜㅜ예최재형황교활닥그네.n지성인이 공공의 장소에서 종교발언은자제해야좋으면혼자믿으세요 n그런 사람치고괜찮은 사람못봤다', '도리도리정도야뭐어때싶겠지.최태민에순실씨도있었는데장모와쥴리쯤은괜찮다싶겠지.정말 대한민국35프로수준에구역질난다.오늘윤십원팬들이 실신까지 하고 난리였다니참.']"
34,발전,35,"['대통령께서 경제발전에 모든 것을 이루고 발전하는 최고의 리더대한민국 정치를 비판하는 대권주자가 더 큰 비전을 발표를 못한윤짜장님', '황희두응원합니다 승리하세요파이팅입니다.항상발전하시고 앞으로 우리나라를 위해 사회 발전에 공헌해주세요.참으로 고맙습니다.', '심지어 미국에서 조차 한국이 민주주의가더발전한 것 아니냐 라는 말이 나오고 있음.nn그리고 자유민주주의 국가에서 검찰권력이왜필요하지?70년대유신정부 시절에야민간인사찰도해야 되고']"
35,신뢰,33,"['이낙연이밉지만 그렇게 비난할 사항은 아니라고 본다.본인이 아니라고 해명했고 그것도 모자라 관련자고소까지 한다는데 뭐가그렇게불만인가?이방송은이낙연보다 최성해를더신뢰하는 지묻고 싶다.', '최성해는신뢰할 수 없는 자이나그자가하는 말이 모두 거짓일수 없지요.지놈에게 불리할 때거짓말을 하지만 유리할 때는 진실을 얘기하는놈이죠.신유진씨판단방향실망입니다.', '김엄마는 정상근기자가말하는 거랑완전다른 관점인듯요nn그리고점점개인적감정의 관점이 들어가는말투와비꼼에그동안 쌓여왓던신뢰가 무너져가는 기분에좀안타깝습니다']"
36,대박,33,"['대박n쥴리박사논문표절하셨네요.nmemberyuji n난맨처음사람이름인줄n근데저뜻이멤버유지일줄이야.n여튼윤석열처쥴리는저yuji로박사 학위를 취득했다고 합니다.', '윤도리도리에그쳤지만n대여섯개있었다 면.도리도리가 아니라n윤빙그리또는빙글빙글윤또는윤뱅글뱅글될뻔. n김건희와윤석열때문에점집들이 대박날것 같습니다.', '누구를 원망할겁니까n세상살이 모든 것이n자업자득입디다n한길사n대박아깝지않다고 생각하고요n한번배반한놈은반듯이n또배반합니다']"
37,성공,33,"['댓글읽어주는 기자들이란kbs최근프로그램의홍사훈기자님의리포트에 귀를 기울여주시면윤씨의 비호아레이루어진김건희와최은순의주가조작성공?실패?스토리의진전을 경청하실 수 있습니다.', '연정상대가 없는데 누구랑한다 고?상대는우릴무능하다 고놀려대는데 거지도아니고.제대로 개혁을 성공시키고 이런 소릴하자.180석으로 이리허우적거리는데 누가연정하겠나?', '민주당은 이낙연컷오프시키면대선흥행성공합니다n월등한1등에서 예선탈락.충분한 이슈가 되지 않을까요?n조국을친사람이 차기 대통령 후보자격이 있나요?']"
