from,to,depth,documents
사과,지지율,2,"['뭘 사과 하십니까 본인 잘못부터 인지 하시기 바랍니다 대통령님 지지율은 오르는데 왜 민주당 지지율이 떨어 질끼오 원인은 조국장관님이 아니라 송영길 대표님 본인이 시듯합니다', '잘못이 없는데 무슨 사과요??한번 굽신해서 지지율좀 올려 보고 싶어서요?그러면 지지율이 오를까요?한번이 두 번되고 두번이 세 번되겠네.실망스러운 발언입니다.', '대체 뭘 위한 사과입니까? 지금 지지율 안보이세요? 책 판매율 모른척 하시는 거에요? 대통령 지지율 내리고 싶어서 안달났나요? 헛짓거리 좀 하지 마세요']"
송영길,정치,2,"['n 이낙연 정세균 송영길이등등 수구적폐다선 정치자영업자들좀 정치바닥에서 의퇴시켰으면 좋겠습니다.????????n이낙연. 정세균.송영길 이 사람들을 한번에 싸잡아서 수구적폐????', 'n 트윗에 어느분이 그러시더군요n김부겸은 총리나 1년하고 정치인생 끝낼것이고n송영길은 당대표나 1년하고 정치인생 끝낼것 같다 고.', '인간이길 포기한 송영길을 민주당에서 몰아냅시다송영길의 정치인생을 끝내줍시다송영길을 탄핵합니다']"
송영길,윤석열,2,"['참담함을 금할 수 없다 도대체 민주당은 누구를 위한 당인가?윤석열을 위한 당인가?조국장관 집안전체를 도륙한윤석열에게 당위성 만 부여해준 꼴이 되었다송영길 책임지고 물러나시오', '떡검에 의해 한 가족이 탈탈 털리고 몰매를 맞고 있는데 막아 주질 못할망정또 다시 그 가족에게 돌팔매질을 한 송영길을 용서 할 수 없다송영길은 윤석열 지지자인가?', '어제부로 송영길은 윤석열과의 원팀 선언.그 사이다 라는 이재명은 오래전부터 윤석열 앞에서 개미보다 작아지고.니 둘 나가서 원팀해라.']"
송영길,나가다,2,"['조국 수호문재인 대통령 사랑해요 이재명도 탈당하라어휴 말 길게 하고 싶지도 않다 이제 민주당에 하나 도움되지도 않는송영길 나가라사람 고쳐쓰지 않는 다는 말 송영길 보고 하는 말', '사람을 깔때는 글 한줄 가져와서 까지 말고 전체적인 맥락을 가져와서 까라어떻게 그리 기레기들이랑 똑같냐.ㅡㅡ느그나 일베나 기레기나 뭐가 다른건지. 이재명 나가라 송영길 나가라', 'n 나가지 말고 송영길을 사퇴 압박합시다. 누구 좋으라고 나가요. 우리가 문재인 대통령을 뽑았으니 책임을 지어야지요. 쟤들이 우리 떨어뜨리고 지들 맘대로 하게 두지 맙시다.']"
송영길,정신,2,"['뭔 사과를 해 어이없는 사람들아? 검찰쿠테타에 용기를 주는 말도 안 되는 일이다.민주당은 촛불시민에게 사과하라.송영길은 정신차리고 시대정신을 똑바로 인식하길 바란다', '송영길과 권당은 각자의 길을 가겠다 이전에도 그랬고앞으로도 그럴꺼다말하는 행세를 보아하니 정신차릴 사람이 아니다 당대표 자리가 그러라고 있는 자리가 아니다 역풍 맞을 준비나 하시라', '조국사태를 사과할 것이 아니라 조국사태를 불러온 이해찬 사태를 무릎 꿇고 사죄해야지요. 지금 민주당 제 정신인가요? 송영길 당대표가 아주 당을 말아드시려고 작정을 하셨습니다.']"
당원,권리,2,"['뭐하는 분이세요?당대표 맞으세요?와 나 송모씨 때문에 권리당원 홈페이지 가입함 조용히 지지만 하려고 권리당원 돈만 내고 있었는데 그래선 안되겠다는 걸 새삼 깨닫게 됩니다', 'n 이 당의 주인이 송영길입니까? 지가뭔데 당원 900프로가 반대하는 사과를 한답시고 닥가리를 숙이냐 고. 권리당원 궐기하여 송영길 탄핵합시다', 'n 어휴. 조국때문에 지지율 떨어진다는 소리가 자연스럽게 나올 정도면 국민의힘 당원이나 하시지. 돈 아깝게 뭐하러 민주당 권리당원 하셨어요.']"
당원,민심,2,"['윤석열 쿠테타를 조국사태라고???적폐언론 프레임에 갇혀 진짜 민심을 못읽는 한심한 바보 멍청이 송영길을 당장 퇴출시킵시다당원들이 탈당할 일이 아니고 이적행위자를 출당 시켜야 합나다', '민심이자 당원여론조차 파악하지 못하는 당대표가 언론에 나서서 엄한소리로 민주당 먹칠하는 상황은 더 이상 보기 싫네요. 능력이 모자라면 공부하시고 공부하기 싫으면 사퇴하세요.', '당원들의 뜻과 민심을 모르는 사람이 무슨 당대표질을 한다는 거냐180석이나 갖고도 수구세력들에게 무릎 꿇고사과하니 이게 무슨 짓거리냐당장 물러나 당을 나가라']"
당원,지지,2,"['이놈의 당은 당원들 말은 하나도 쳐 듣지도 않고갑자기 무슨 사과를 한다고 난린지???당대표 제정신입니까? 지들이 이뻐서 지지하는 줄 아나 대통령때문에 억지로 지지하는 데', 'n 민주당 당원 지지율 1위 이재명n조국 전장관님도 지지하는 이재명n조국 전장관님께 손톱 만큼도 마음에 빚이 없다는 어떤분n머리는 균형 잡기 위해 달고 다니냐?', 'n 글 쓰는 걸 보면 누굴 지지하는지 알 수가 있고n그자의 수준만큼 지지자도 격이 낮음을 알 수 있다n제발n당원의 수준도 높여봅시다']"
장관,국전,2,"['조국전장관님께 도움도 안 되면서 왜 나대면서 괴롭히시는 건가요?도대체 조국 전장관님 책에 대해서 무엇이 잘 못이라고 사과를 하냐고요.진짜 너무 답답하네요.', '조국전장관 혼자 돌맞고 의혹같지도 않은 의혹으로 가족들까지 싸잡아서 고통당하는 동안 힘이 돼주지는 못할망정 무슨 사과를 합니까 당원들한테나 사과하세요당원들은 국민 아닙니까?', '언론 보도가 사실이라면 참 어이없다 더 이상 미련없다 정말 조국전장관때문이라는 사과문 발표하는 순간권리당원 탈당과 함께 당비또한철화한다언론보도가 사실아니길 바랄뿐이다']"
장관,선거,2,"['조국 전장관님이 뭘 잘못했는가선거 패배는 민주당 헛짓거리 때문아닌가누가 lh를 선거 전에 터트렸는지 심지어 이명박근혜 작품을 누가 진짜 민주당을 망치는가?', '보궐 선거에서 조국 전 장관님 때문에 패배했다는 말들을 하시고 계신다는데 그럼 보궐보다 먼저 치룬 총선은 누구 때문에 이긴 겁니까?누구 답해줄 의원나리 없습니까?이런 .', '조국장관 안고 가지 않는 한 대선도 서울시장 선거 꼴 난다정신차려라송영길 자기 정치하느랴 한심하다 진짜']"
