,neg_words,count,documents
20,부정,46,"['문재앙과 더듬고만진당의 정치공작.지겹다.부정.비리우기기.선동 .지겹다.많이 쫄리나보다.대선 얼마 안남았다.야당에 돌덩어리가 후보로 나와도찍는다.더듬당은 무조건 패스.두고봐라', '이런 구라미터을 누가 믿냐?다음 대선및지선 부정선거 하려고 밑밥 까는게 보인다.영저철 복귀하는 거 보면서 지금부터라도 국민들은 매의 눈으로 감시해야 한다.', '니는 온갖 특혜와 부정한 이익을 취해도 되는 게 .니한테는 공정한거니? 니가 말하는 공정이 니는 특혜 받는 게 공정이야? 에라이 .어린놈이 참 못됐네.']"
21,의심,41,"['아직도 자료를 차곡차곡 모으고 있는 중인 가? 눈치 보지 말고 x파일 빨리 공개해서 국민의 공정한 심판을 받읍시다. 뭐가 구려 뭉개고 있는 것인지 저의가 의심스럽기만 하네요.', 'x파일은 민주당에서 윤석렬 지지자들에게 뭔가 있는 거 아냐? 하는 의심을 같게하기 위한 공작이다 민주당으로서는 그런 게있던지 없던지 손해볼게없다는 생각에서 만들어낸 음모다', '윤석열x파일이란 단어를 처음 쓴사람이 송영길이고 그 이후로 방송에서 계속 x파일이 언급됬으니 충분히 의심해볼 만하다. 폭탄주 송영길이의 가벼움이 한건한 느낌']"
22,시끄럽다,40,"['윤석렬이 무섭긴 무서운가보다. 국민들은 아무말 없이 기다리고 있다 니들끼리 시끄럽게 바람잡아도 국민들은 안다. 하나만 보인다 윤석렬이 대통령되면 두려운 사람들이 엄청나게 많구나', '아 지금도 준표는 시끄러운데 앞으론 얼마나 시끄러울지.벌써부터 머리가 아프네.제발 열번 말할걸 한번 만 말하길 바란다 조상중에 말못해 죽은 귀신이라도 있는 건지.', '파일 있다고 떠들때는 언제고 시끄러워지니 없앤다고 하냐? 김무성이하고 박지원 이하고 싸바싸바 했다는 거 국민들 대부분 알고 있다.김무성이 한테 이런 거 배웠냐?']"
23,헛소리,35,"['국짐당은 헛소리하지 말고 권익위 전수조사에 정보제공 동의서를 지체 없이 제출하라 시간 끌지 말고 국짐당은 더 이상 전수조사 받겠다고 쇼하지 말고 국민들을 우롱하지 말라', '뭔소리여 송영길이 윤석열x파일 차곡차곡 쌓고 있다 고 했는데 없다고 하니 치매걸렸나 헛소리하게 이제 윤석열에 한마디도 의혹 제기 못하겠네 어디 믿어보자', '이준석이는 헛소리하지 말고 국짐짝 부동산 전수조사 정보공개동의서 빨리 제출해라만약 하기 싫으면 싫다고 해라전수조사하면 아마 국짐짝 해체 수준이 될텐데']"
24,욕심,35,"['쇼 그만하고 조용히 살아요 코로나로 인하여 온 국민이 지쳐있는데 검사짓 그만뒀으면 과거를 반성하며 사람답게 사는 방법을 찾기 를 욕심이 과하면 어떻게 될까요?', '홍준표 참. 옳은 소리는 곧잘은 하는데 지 대통령 되는 것에만 생각하고 당의 분열을 만드는 게 흠이지 좀 욕심 좀 버리세요. 그러다 보면 기회가 오겠죠', '야권 주자들 합쳐도 40프로가 안 되네.이제 야당단합 후보로 뭉쳐라 쓰잘데기 없이 욕심부리지 말고 윤총장님을 중심으로 똘똘 뭉쳐서 정권교체 이룩하자']"
25,역겹다,35,"['진짜 제일 증오하는 스타일의 길을 걷고 있는 인간이다. 제발 한국은 윤씨 저사람 감투씌우지마라. 북 김정은처럼 오냐오냐 해주니 벼슬이라도 딴것처럼 하는 행세역겹다', '제 발 저사람대해 알지도 못하면서 대통령감이니 이딴소리좀 하지 마라. 정치는 저런 사람이 하는 게 아니다. 저 부인 저가족들 안봐도 뻔하다. 역겨워', '더듬당 드루킹 후예다운 선동 선전 쌍팔년 대 군사독재식 흙색선전 공작정치 역겹다 저런 애들이 무슨 민주투사고 진보냐 그냥 기득권 꼰대 삼류들']"
26,음모,35,"['x파일은 민주당에서 윤석렬 지지자들에게 뭔가 있는 거 아냐? 하는 의심을 같게하기 위한 공작이다 민주당으로서는 그런 게있던지 없던지 손해볼게없다는 생각에서 만들어낸 음모다', '뭐 이제 없다 고??? 그렇게 난리 치더니?? 이제 뭐?? 엑스파일 없다 고??? 음모 의혹 던져놓고 또 그놈의 아님말고 술수냐?? 지긋지긋하다 정말', '송영길이 누구인가? 음모를 얼마나 좋아하는지 이빨로물어뜻어버릴 정도로 음모 매니아 아닌가? 그취향은 진짜 존중 못해주겠다 적당히 드러워야지']"
27,걱정,34,"['검찰출신이 무슨 정치를 한다 고 대통령을 한다고 나서냐.걱정스럽다.검찰 졸업하고 몇년은 정치감각을 익힌후 나서도 늦지 않건만 여론에 도취되어 밀려나가는 모양새네.매우 걱정된다', '역시 민주당이네 수단과 방법을 가리지 않는 대처 나라앞날이 걱정이다 민심은 떠났다.온갖비리는 지들이다 하고 난리인가.국민들이 무지하다 생각지마라 심판에 날이다 가온다', '김대업사건의 본질을 흐리는 논리가 참 걱정스럽다. 홍준표 돌아온 또레이가 안 되도록 말 조심 해라.지금 문빠와 죄ㅡ파들에게 도움줄 언사는 제발 좀 닥쳐주라.']"
28,사라지다,33,"['윤석열 홍준표 유승민 안철수를 먼저 상대해야 되겠네요당내 대선후보자 검증에서 이긴다면 유튜브나 지면에서 흘러나오는 많은 의혹을 넘어서는 것이나 그렇지 않으면 역사속으로 사라질 수도', '참으로 상종할 가치도 없는 인간들 집단이다. 민주당의 저런 언행에 과연 후손들이 무엇을 보고 배울까. 제발 이번 대선을 시작으로 좌파들이 모두 사라지도록 만들어야 할 것이다.', '등 떠민다고 개나소나 지가 대통령깜이라 착각 . 의리도 도덕심도 양심도 염치도 다 사라지고 탐욕만 가득한 세상. 그기에 한몫하는 무개념 국민들.출산율 뚝뚝 망할날 가깝다.']"
29,틀리다,32,"['김부선 비호감이긴한데 이재명에 대한 것만은 김부선말이 맞는듯. 틀린말하는 거면 이재명이 가만히 있을 사람은 아니지. 암튼 이재명 무서운 사람이니 자살당하지 않도록 몸도심하도록.', '홍준표의 입 바른 소리를 막말이라고 폄하하지 마시오 그 분 말 하나도 틀린 것도 빈 소리도 없더이다 중언부언하는 문인씨보다 훨씬 낫습니다.', '홍준표 외는 답이 없다. 지난번 돼지발정제 문제는 국민들이 선동된거다. 당시 홍준표가 공약했던거 지금 돌이켜 보자 틀린말 이 없다.']"
