,pos_words,count,documents
22,행복,17,"['작은 것부터 국민이 체감할 수 있는 일을 하겠다는 우리이재명지사님말씀을경기도민으로써믿어의심치 않습니다.n지사님과 함께 한 시간감사하고 행복했어요 n지사님', '난추미애님이젤로조타나의 사랑나의확신나의 마음나의진실나의행복나의꿈추미애여계속 나가라n싸워라이겨라n내가응원하고 내가 지지세력모아주리라', '윤씨n줄리n하늘은안다n지금보고 있다n두렵지 않나n잠자리좋니n대통령.영부인.행복히니n천벌은무섭다n기다려라n그때까지 최후만찬해라']"
23,적극,17,"['홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ', '이용복의쥴리아??july의계절이 되었습니다.윤석열의처가영부인까지되려고적극적으로 나섰네유??앞으로 열이를 위해서열일하겠넹?그러나 부메랑을많이 만들 것으로 예측된다 고???', '쥴리??july의계절이 되었습니다.윤석열의처가영부인까지되려고적극적으로 나섰네유??앞으로 열이를 위해서열일하겠넹?그러나 부메랑을많이 만들 것으로 예측된다 고???']"
24,가치,16,"['이탄희의원님뵈니너무 좋아요 저도책여러권예약해뒀어요 조국의 시간.추미애의깃발진보진영분들의책들은 진짜마음의양식들임그만큼가치있다는 것 사람이 높은세상 두분응원합니다 박시영티비도응원합니다', '무식해도 이렇게무식할 수가 있구나n하는 생각을 하게 한대표적인 케이스가 아닐까?n그무식의행보와그결과가 매우궁금한 데 이제존재가치가 없기n때문에 나는 신경을끌란다.', '아정말세상에서젤더러운욕이나오려하는데 내가참아야지가치도 없는놈땜에내입까지 더러워짐안되니까 어물전망둥이뛰니꼴뚜기까지뛴다더니']"
25,명예,16,"['전번공개는 표현의 자유가 아닙니다n개인정보 유출명예훼손으로 전부손배소해야 합니다.파산시켜버려야 합니다.삼성이뒤에있다 면돈걱정 없겠지만 말이죠.', '조국사태특검해야n이나라뭔지?n억울한 가족n구해야함nn인권 유린n안되죠n지구끝까지 추적n명예회복해야nn패널들님대안n제시해줘야', '사실이 아닌 것은표현의 자유라는 이름으로 포장될 수 없습니다 반드시심각한 명예훼손으로 엄중한 처벌을 받아야펙트부터챙기겠죠']"
26,대상,16,"['오늘민주당 원내대표가뉴공에 나와서 전국민 대상으로 바뀌지는 않을꺼라고 말했어요.답답한 민주당인간들.', '도리도리도리도리도리도리도리도리.가검열대상언어라고?도리도리도리.거꾸로 가는 세상이군.', '이재명45홍준표26윤짜장20한음악감상및먹방사이트가 15만명대상으로 조사.정치일학참고']"
27,대박,15,"['대박n쥴리박사논문표절하셨네요.nmemberyuji n난맨처음사람이름인줄n근데저뜻이멤버유지일줄이야.n여튼윤석열처쥴리는저yuji로박사 학위를 취득했다고 합니다.', '윤도리도리에그쳤지만n대여섯개있었다 면.도리도리가 아니라n윤빙그리또는빙글빙글윤또는윤뱅글뱅글될뻔. n김건희와윤석열때문에점집들이 대박날것 같습니다.', '짜장출마 선언하면건이재산털어야지조국전장관네처럼.조선일보 가앞장서서탈탈털어주면대박.']"
28,괜찮다,14,"['도리도리정도야뭐어때싶겠지.최태민에순실씨도있었는데장모와쥴리쯤은괜찮다싶겠지.정말 대한민국35프로수준에구역질난다.오늘윤십원팬들이 실신까지 하고 난리였다니참.', '조금은딱딱한 정치판에웃음을 선사하는n캐맄터하나쯤은있는 것도 괜찮습니다.n설만윤석열을대통령깜으로 보는 사람은n별루없는 것으로 압니다.', '대선 기획단강훈식모지리냐n김성수는 사적으로 친하면괜찮다는 겁니까.n국민면접관이면민주당진영유튜버운영자를 모시는 게 맞지요']"
29,발전,14,"['대통령께서 경제발전에 모든 것을 이루고 발전하는 최고의 리더대한민국 정치를 비판하는 대권주자가 더 큰 비전을 발표를 못한윤짜장님', '감사원장검찰총장이 정치적 목적으로 얼마나 민주진영에고의적으로 해악을끼치고방해해왔는지 알 수 있다.중립적인척이라도 하던가.대놓고 정치색드러내고방해하고 국가발전에해를가했다.', '대통령은 이재명지사입니다n나라발전천년을앞당기는 사람입니다n무조건이재명지사가 대통령입니다']"
30,도움,14,"['정 교수님과따님과아드님사랑합니다.힘내시고홧팅하세요 조장관님은혼자가 아닙니다.우리깨시민들이 도움을 드리고 함께 할 수 있도록 기회를 주신다면감사하겠습니다 우리가 조국이고 내가조국이다', '날도덥고습하고눅눅한데왜 이리불사르겠다는 인간들이 많아요?n항상하나도 도움될것없는 인사들같으니 라고n황희두님n힘내세요.n더위에건강조심하시고요.n사랑합니다', '지원금주면부동산으로 또서민들에게 충격으로 다가온다 먼저집값내리는 대책을 세워라언발에오줌누기다집값오른다면 지원금이 아무도움이 안 된다']"
31,새롭다,13,"['추미애이세분이열민당으로 가서 새로운당을 만들어야 된다고 생각합니다 개민주당 추미애 대권선언할때아무도안가봤다구요?잡놈들도 그렇게는안할 것 같네요', '거짓하고핑계되고비존도없고철학도안보이고 출발하면서 현 정부 평하고 편파수사에 부족해서감싸고헛소리에뻥그만하시고관심도 없는 새로운 정치인땡이지요', '근데이 지사가 말하니까 정말새로운 대한민국과 이재명이 합니다 가쏙들어오던데요 어제 이작가때문에 더쏙기억나는듯요']"
